0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
8,10,12,13,19,20,27,29,30,31,37,38,39,45,47,59,62,73,77,80
7,15,22,25,27,29,35,36,42,45,46,47,53,55,58,59,67,73,75,76
3,6,9,10,13,17,23,26,27,28,33,42,45,50,59,65,71,73,77,78
1,5,7,13,19,24,26,43,44,48,49,51,59,60,62,65,69,74,76,80
2,3,4,5,6,9,11,16,19,22,23,24,33,37,40,43,47,51,64,76
1,3,4,6,7,15,20,23,24,25,27,31,33,35,39,49,54,60,69,76
1,2,3,5,7,11,20,21,28,33,35,36,37,39,48,50,55,62,65,77
4,6,14,16,20,35,36,38,39,46,52,54,64,66,69,72,73,74,75,77
5,8,10,23,27,30,32,33,36,37,48,51,54,57,59,67,76,78,79,80
4,5,10,12,13,19,23,24,30,34,42,43,50,51,52,56,62,69,72,78
2,5,6,12,15,18,35,36,39,40,41,42,47,53,54,56,63,64,66,68
17,20,23,25,29,31,33,36,37,45,46,50,57,58,60,64,66,68,71,80
3,8,9,16,21,22,33,36,43,44,45,46,47,53,54,57,67,69,71,78
1,5,12,16,21,27,29,32,41,44,52,53,56,59,60,64,65,71,75,80
4,15,16,27,28,29,31,44,47,52,54,55,60,61,63,65,69,72,73,80
1,3,4,6,7,8,11,12,14,27,39,41,49,51,55,57,58,68,73,75
6,8,12,15,18,30,32,37,41,43,45,49,50,55,56,63,68,70,71,79
7,11,13,14,20,22,28,31,35,37,45,47,60,63,66,68,69,70,74,75
2,3,7,13,18,19,22,26,36,42,43,45,46,53,62,63,69,70,73,79
2,3,4,11,15,22,25,27,30,39,45,50,51,61,62,65,66,75,79,80
5,8,9,12,35,38,40,42,52,54,55,56,57,58,60,62,65,66,70,71
14,16,17,20,21,22,30,35,40,43,47,48,51,52,55,62,63,76,78,80
2,3,4,5,8,14,26,27,32,37,38,51,54,59,68,70,71,72,77,80
2,14,15,16,20,23,24,25,33,45,48,52,54,57,58,65,68,70,74,76
2,7,10,16,20,22,24,28,30,43,45,48,50,56,59,66,69,71,72,76
3,8,10,11,19,25,30,37,43,47,51,57,62,63,64,66,67,71,77,78
2,6,14,26,34,37,38,39,44,45,48,49,55,60,64,66,71,75,76,77
1,5,8,9,12,18,23,25,29,31,42,43,46,47,48,55,63,67,68,73
2,3,8,21,22,23,24,43,46,49,50,51,52,53,60,64,66,67,69,72
1,2,4,12,13,14,17,20,27,28,32,44,47,49,53,56,57,60,64,69
1,5,7,17,21,22,27,28,36,40,47,52,60,62,64,71,75,77,79,80
3,7,10,14,15,16,20,28,29,31,33,40,48,51,55,60,63,65,73,78
1,4,6,13,14,19,20,22,26,28,43,45,46,49,51,53,58,70,76,79
